,g1,g2,current,state
0,0,2.129,1.519,Assam
0,1.083,1.094,1.073,Haryana
0,1.26,1.198,1.16,Maharashtra
0,1.167,1.251,1.182,Madhya Pradesh
0,1.298,1.219,1.162,Rajasthan
0,0,1.301,1.192,Andaman and Nicobar Islands
0,1.318,1.272,1.199,Andhra Pradesh
0,0,1.0,1.0,Arunachal Pradesh
0,1.25,1.18,1.156,Bihar
0,1.873,1.217,1.168,Chandigarh
0,1.0,1.194,1.124,Chhattisgarh
0,1.168,1.203,1.15,Delhi
0,0,1.052,1.028,Goa
0,1.917,1.302,1.232,Gujarat
0,1.125,1.15,1.094,Himachal Pradesh
0,1.133,1.188,1.139,Jammu and Kashmir
0,0,1.349,1.207,Jharkhand
0,1.222,1.135,1.105,Karnataka
0,1.201,1.108,1.075,Kerala
0,1.092,1.031,1.025,Ladakh
0,0,1.048,1.026,Manipur
0,0,1.0,1.367,Meghalaya
0,0,1.0,1.0,Mizoram
0,1.125,1.222,1.162,Odisha
0,1.0,1.106,1.07,Puducherry
0,1.58,1.251,1.188,Punjab
0,1.383,1.286,1.201,Tamil Nadu
0,1.534,1.274,1.188,Telangana
0,0,1.125,1.04,Tripura
0,1.115,1.141,1.119,Uttar Pradesh
0,1.229,1.152,1.106,Uttarakhand
0,1.434,1.236,1.18,West Bengal
